key,title,company,location,url,match,human_skill_overlap,human_role_fit,human_spam
"struktureret, engagerende og resultatskabende teamchef for djøfs medlemsservice og telemarketing|djøf","Struktureret, engagerende og resultatskabende Teamchef for Djøfs Medlemsservice og Telemarketing",Djøf,København K og mulighed for hjemmearbejde,https://www.jobindex.dk/vis-job/h1699916,66.9,,,
ai platform engineer - agentic coding & developer tooling|pfa,AI Platform Engineer - Agentic Coding & Developer Tooling,PFA,København Ø og mulighed for hjemmearbejde,https://www.jobindex.dk/vis-job/h1699477,66.9,,,
hr studentermedhjælper til synoptik|synoptik a/s,HR Studentermedhjælper til Synoptik,Synoptik A/S,Herlev,https://www.jobindex.dk/vis-job/h1699469,66.9,,,
vikariat i matematik på gammel hellerup gymnasium|gammel hellerup gymnasium,Vikariat i matematik på Gammel Hellerup Gymnasium,Gammel Hellerup Gymnasium,2900 Hellerup,https://www.jobindex.dk/vis-job/r14004402,66.9,,,
"teknisk projekt- og byggeleder til kapacitetscenter svanemøllen, etablissement- og terrænkommandoen|forsvaret","Teknisk Projekt- og Byggeleder til Kapacitetscenter Svanemøllen, Etablissement- og Terrænkommandoen",Forsvaret,2100 København Ø,https://www.jobindex.dk/vis-job/r14000044,66.9,,,
"kontorchef til styring - ejendom, klage og trepart i skatte- og vækstministeriets departement|skatte- og vækstministeriet","Kontorchef til Styring - Ejendom, Klage og Trepart i Skatte- og Vækstministeriets departement",Skatte- og Vækstministeriet,København K,https://www.jobindex.dk/vis-job/h1699445,66.8,,,
event medarbejder (deltid)|soroma aps,Event Medarbejder (Deltid),Soroma ApS,,https://www.jobindex.dk/vis-job/h1698659,66.8,,,
butikschef (37 timer) søges til b.young rødovre|b.young,Butikschef (37 timer) søges til b.young Rødovre,b.young,,https://www.jobindex.dk/vis-job/h1698759,66.8,,,
vil du helt tæt på teknikken bag metroens signalsystemer?|metro service a/s,Vil du helt tæt på teknikken bag Metroens signalsystemer?,Metro Service A/S,København SV,https://www.jobindex.dk/vis-job/h1699947,66.7,,,
frederiksbergs mindste institution søger stort pædagoghjerte|frederiksberg kommune,Frederiksbergs mindste institution søger stort pædagoghjerte,Frederiksberg Kommune,Frederiksberg C,https://www.jobindex.dk/vis-job/h1698384,66.6,,,
teknisk teamleder - hvac/cts|coor service management a/s,Teknisk Teamleder - HVAC/CTS,Coor Service Management A/S,København S,https://www.jobindex.dk/vis-job/h1698298,66.6,,,
vil du gøre en forskel for databeskyttelse og informationssikkerhed i københavns politi?|københavns politi,Vil du gøre en forskel for databeskyttelse og informationssikkerhed i Københavns Politi?,Københavns Politi,København V,https://www.jobindex.dk/vis-job/h1699582,66.5,,,
driftstekniker til varmeproduktion|vestforbrænding,Driftstekniker til varmeproduktion,Vestforbrænding,Glostrup,https://www.jobindex.dk/vis-job/h1698913,66.4,,,
it-chef til dab-lejerbo|dab-lejerbo,IT-chef til DAB-Lejerbo,DAB-Lejerbo,Frederiksberg,https://www.jobindex.dk/vis-job/h1698944,66.4,,,
