key,title,company,location,url,match,human_skill_overlap,human_role_fit,human_spam
sygeplejerske til primært dagvagt i frederiksberg hjemmesygepleje – brug hele din faglighed tæt på borgeren|frederiksberg kommune,Sygeplejerske til primært dagvagt i Frederiksberg Hjemmesygepleje – brug hele din faglighed tæt på borgeren,Frederiksberg Kommune,Frederiksberg,https://www.jobindex.dk/vis-job/h1699368,64.5,,,
driftskoordinator til kundecenterdrift- og udvikling|alm. brand group,Driftskoordinator til Kundecenterdrift- og udvikling,Alm. Brand Group,København Ø og Frederiksberg C samt mulighed for hjemmearbejde,https://www.jobindex.dk/vis-job/h1699399,64.5,,,
ios-udvikler til product engineering|danske spil a/s,iOS-udvikler til Product Engineering,Danske Spil A/S,Brøndby,https://www.jobindex.dk/vis-job/h1699374,64.5,,,
asset engineer til belægninger/afmærkninger|københavns lufthavne a/s,Asset Engineer til belægninger/afmærkninger,Københavns Lufthavne A/S,Kastrup,https://www.jobindex.dk/vis-job/h1699175,64.5,,,
f&b supervisor|admiral hotel copenhagen,F&B Supervisor,Admiral Hotel Copenhagen,Copenhagen,https://www.jobindex.dk/vis-job/h1699020,64.5,,,
"teknisk servicemedarbejder til kedelhallen.|frederiksberg idræt, fiu",Teknisk servicemedarbejder til Kedelhallen.,"Frederiksberg Idræt, FIU",Frederiksberg,https://www.jobindex.dk/vis-job/h1698247,64.5,,,
finanstilsynet søger aktuar til tilsynet med pensionskasserne|finanstilsynet,Finanstilsynet søger aktuar til tilsynet med pensionskasserne,Finanstilsynet,København K,https://www.jobindex.dk/vis-job/h1697428,64.5,,,
social- og sundhedsfaglige medarbejdere til botilbuddet boserupvej – bliv en del af aftenteamet|københavns kommune,Social- og sundhedsfaglige medarbejdere til Botilbuddet Boserupvej – bliv en del af aftenteamet,Københavns Kommune,København,https://www.jobindex.dk/vis-job/r14000061,64.5,,,
operatør til heraeus covantics (aften/nat)|heraeus covantics denmark aps,Operatør til Heraeus Covantics (aften/nat),Heraeus Covantics Denmark ApS,Brøndby,https://www.jobindex.dk/vis-job/h1699251,64.4,,,
finance accountant med solid økonomisk værktøjskasse til et af danmarks største advokathuse|kromann reumert,Finance Accountant med solid økonomisk værktøjskasse til et af Danmarks største advokathuse,Kromann Reumert,København Ø,https://www.jobindex.dk/vis-job/h1699287,64.4,,,
it support - studentermedhjælper|norconsult danmark a/s,IT Support - studentermedhjælper,Norconsult Danmark A/S,Herlev,https://www.jobindex.dk/vis-job/h1699124,64.4,,,
"mekaniker, lastvognsmekaniker eller smed søges til alsidig stilling i glostrup|hcs a/s transport & spedition","Mekaniker, lastvognsmekaniker eller smed søges til alsidig stilling i Glostrup",HCS A/S Transport & Spedition,2600 Glostrup,https://www.jobindex.dk/vis-job/r14003070,64.4,,,
studentermedhjælper til biblioteket frederiksberg – 8 timer om ugen|frederiksberg kommune,Studentermedhjælper til Biblioteket Frederiksberg – 8 timer om ugen,Frederiksberg Kommune,Frederiksberg,https://www.jobindex.dk/vis-job/h1699986,64.3,,,
generalist til rollen som projektkonsulent på data- og analyseområdet|udviklings- og forenklingsstyrelsen,Generalist til rollen som projektkonsulent på data- og analyseområdet,Udviklings- og Forenklingsstyrelsen,Frederiksberg,https://www.jobindex.dk/vis-job/h1698627,64.3,,,
"compliance controller med sans for struktur, samarbejde og kvalitet|poul schmith/kammeradvokaten","Compliance Controller med sans for struktur, samarbejde og kvalitet",Poul Schmith/Kammeradvokaten,København V,https://www.jobindex.dk/vis-job/h1698662,64.3,,,
midlertidig produktionsmedarbejder til postnord danmark i brøndby - nat|postnord danmark,Midlertidig produktionsmedarbejder til PostNord Danmark i Brøndby - nat,PostNord Danmark,,https://www.jobindex.dk/vis-job/h1698585,64.3,,,
er du rundetaarns nye astronomiformidler?|rundetaarn,Er du Rundetaarns nye astronomiformidler?,Rundetaarn,København K,https://www.jobindex.dk/vis-job/h1695969,64.3,,,
student assistant in the administration of volt research center|ku - science - bio,Student assistant in the administration of VOLT Research Center,KU - SCIENCE - BIO,2100 København Ø,https://www.jobindex.dk/vis-job/r14003980,64.3,,,
sælger|name it,Sælger,name it,København S,https://www.jobindex.dk/vis-job/h1697837,64.3,,,
portfolio architect|basware,Portfolio Architect,Basware,2000 Frederiksberg,https://dk.linkedin.com/jobs/view/portfolio-architect-at-basware-4429346001?refId=wXTMYeDd5xWtnVP4xMBszw%3D%3D&trackingId=jl0VRV%2BfhS5BBoqluE7OvA%3D%3D,64.2,,,
chefkonsulent med ansvar for ledelsesudvikling|hofor,Chefkonsulent med ansvar for ledelsesudvikling,HOFOR,København S,https://www.jobindex.dk/vis-job/h1699930,64.2,,,
business controller til mpya københavn|mpya finance,Business Controller til Mpya København,Mpya Finance,København Ø,https://www.jobindex.dk/vis-job/h1699862,64.2,,,
digital risk manager til pensiondanmark|pensiondanmark,Digital Risk Manager til PensionDanmark,PensionDanmark,København Ø,https://www.jobindex.dk/vis-job/h1699079,64.2,,,
tysklærer|behandlingsskolerne aps,Tysklærer,Behandlingsskolerne ApS,Rødovre,https://www.jobindex.dk/vis-job/h1698923,64.2,,,
salgsrådgiver til synoptik amagercentret|synoptik a/s,Salgsrådgiver til Synoptik Amagercentret,Synoptik A/S,København S,https://www.jobindex.dk/vis-job/h1698914,64.2,,,
dsb søger medarbejdere til uddannelse som lokomotivførere b til fjern- og regionaltog øst|dsb,DSB søger medarbejdere til uddannelse som Lokomotivførere B til Fjern- og Regionaltog Øst,DSB,"København, Kalundborg, Næstved eller Helsingør",https://www.jobindex.dk/vis-job/h1698396,64.2,,,
"talstærk student til analyser af arbejdsmarked, uddannelse og økonomi|akademikerne","Talstærk student til analyser af arbejdsmarked, uddannelse og økonomi",Akademikerne,1264 København K,https://www.jobindex.dk/vis-job/r14005276,64.2,,,
inkluderende børnekulturformidler til skoleområdet|brøndby kommune,Inkluderende børnekulturformidler til skoleområdet,Brøndby Kommune,2605 Brøndby,https://www.jobindex.dk/vis-job/r14005505,64.2,,,
senior software engineer - connect|formalize,Senior Software Engineer - Connect,Formalize,København,https://www.jobindex.dk/vis-job/r14005382,64.2,,,
volunteer for tech & automation|itu student council,Volunteer for Tech & Automation,ITU Student Council,København,https://www.jobindex.dk/vis-job/r14005384,64.2,,,
to psykologer til børnehus hovedstaden i hillerød – vi udvider vores psykologfaglige team|københavns kommune,To psykologer til Børnehus Hovedstaden i Hillerød – vi udvider vores psykologfaglige team,Københavns Kommune,København,https://www.jobindex.dk/vis-job/r14000062,64.2,,,
internship – software developer for defence (cph)|systematic a/s,Internship – Software Developer for Defence (CPH),Systematic A/S,1358 København K,https://jobs.systematic.com/job/Copenhagen-K-Internship-Junior-Software-Developer-%28CPH%29-1358/1433366833/,64.1,,,
business analyst|north consulting,Business Analyst,North Consulting,1160 København K,https://www.north.consulting/position-business-analyst,64.1,,,
early engagement engineer|nov subsea production systems,Early Engagement Engineer,NOV Subsea Production Systems,Brøndby,https://www.jobindex.dk/vis-job/h1691415,64.1,,,
bliv opsøgende rådgiver i nykredit/spar nord - og vær med til at opbygge forenet vækst|nykredit,Bliv opsøgende rådgiver i Nykredit/Spar Nord - og vær med til at opbygge Forenet Vækst,Nykredit,København,https://www.jobindex.dk/vis-job/h1699663,64.1,,,
supervisor søges til dagholdet til nomecos lager i sydhavnen|nomeco a/s,Supervisor søges til dagholdet til Nomecos lager i Sydhavnen,Nomeco A/S,København SV,https://www.jobindex.dk/vis-job/h1699460,64.1,,,
it-sikkerhedsansvarlig til akademikernes a-kasse|akademikernes a-kasse,IT-sikkerhedsansvarlig til Akademikernes A-kasse,Akademikernes A-kasse,København V,https://www.jobindex.dk/vis-job/h1698934,64.1,,,
handy servicemedarbejder|edora a/s,Handy servicemedarbejder,Edora A/S,Charlottenlund,https://www.jobindex.dk/vis-job/h1698351,64.1,,,
to undervisere i demens med sundhedsfaglig baggrund til sosu h|sosu h herlev,To undervisere i demens med sundhedsfaglig baggrund til SOSU H,SOSU H Herlev,2730 Herlev,https://www.jobindex.dk/vis-job/r14003830,64.1,,,
"data analysis consultant, copenhagen|unicef","Data Analysis Consultant, Copenhagen",UNICEF,2100 København Ø,https://www.jobindex.dk/vis-job/r14005324,64.1,,,
accountant at mb shipbrokers - maternity cover|mb shipbrokers a/s,Accountant at MB Shipbrokers - Maternity Cover,MB Shipbrokers A/S,Copenhagen,https://www.jobindex.dk/vis-job/h1697934,64.1,,,
"seniorspecialist, brand|jyske bank","Seniorspecialist, Brand",Jyske Bank,Silkeborg eller København V,https://www.jobindex.dk/vis-job/h1697146,64.1,,,
"juniorudviklere til app-team|skatteforvaltningen, frederiksberg ohv",Juniorudviklere til app-team,"Skatteforvaltningen, Frederiksberg OHV",2000 Frederiksberg,https://jobnet.dk/jobannonce/15fc73fa-7848-4862-8bb2-85adc3d05f7e,64.0,,,
"platform engineer til udvikling og drift af kubernetes-løsning|skatteforvaltningen, frederiksberg ohv",Platform Engineer til udvikling og drift af Kubernetes-løsning,"Skatteforvaltningen, Frederiksberg OHV",2000 Frederiksberg,https://jobnet.dk/jobannonce/875e3854-acb9-46c7-8a75-4333086d5caa,64.0,,,
risikoanalytiker til modelrisiko og validering|jyske bank,Risikoanalytiker til Modelrisiko og Validering,Jyske Bank,Silkeborg eller København,https://www.jobindex.dk/vis-job/h1699759,64.0,,,
"uw assistent til landbrug, motor og transportforsikring|alm. brand group","UW Assistent til Landbrug, Motor og Transportforsikring",Alm. Brand Group,København Ø og mulighed for hjemmearbejde,https://www.jobindex.dk/vis-job/h1699674,64.0,,,
kickstart din lederrejse i vores butik i field's - assisting shop manager|norlys,Kickstart din lederrejse i vores butik i Field's - Assisting Shop Manager,Norlys,København S,https://www.jobindex.dk/vis-job/h1699395,64.0,,,
er du social- og sundhedsassistent? find dit næste job blandt 39 plejehjem i københavns kommune|københavns kommune,Er du social- og sundhedsassistent? Find dit næste job blandt 39 plejehjem i Københavns Kommune,Københavns Kommune,,https://www.jobindex.dk/vis-job/h1699106,64.0,,,
join summ – excellence in everything we do|summ aps,Join Summ – Excellence in Everything We Do,Summ ApS,København SV,https://www.jobindex.dk/vis-job/h1683389,64.0,,,
kontorfunktionær til uddannelsesteamet|domstolsstyrelsen,Kontorfunktionær til uddannelsesteamet,Domstolsstyrelsen,København S,https://www.jobindex.dk/vis-job/h1698775,64.0,,,
serviceminded studentermedhjælper til kursusteamet|dansk erhverv,Serviceminded studentermedhjælper til Kursusteamet,Dansk Erhverv,1215 København K,https://www.jobindex.dk/vis-job/r14005278,64.0,,,
er du god til at skabe overblik og få ting til at ske? bliv sekretariatsmedarbejder i fsb|fsb,Er du god til at skabe overblik og få ting til at ske? Bliv sekretariatsmedarbejder i fsb,fsb,København V,https://www.jobindex.dk/vis-job/h1699779,63.9,,,
servicekoordinator|domea.dk,Servicekoordinator,Domea.dk,Valby,https://www.jobindex.dk/vis-job/h1699380,63.9,,,
"teamleder med gennemslagskraft, strategisk blik og flair for økonomi|danske regioner","Teamleder med gennemslagskraft, strategisk blik og flair for økonomi",Danske Regioner,København Ø,https://www.jobindex.dk/vis-job/h1698347,63.9,,,
"køkkenchef / head chef, scandic sluseholmen|scandic hotel a/s","Køkkenchef / Head Chef, Scandic Sluseholmen",Scandic Hotel A/S,København SV,https://www.jobindex.dk/vis-job/h1698617,63.9,,,
